,Q1,Q2,EN,SN,FN,F,M,Q3,sim_status,final_neck_diameter,MAPE
,0.9,0.9,0.25,0.1,0.03,0.0013,0,0.81,,,
,0.9,0.9,0.25,0.1,0.09,0.0015,1100,0.81,,,
,0.9,0.9,0.4,0.2,0.03,0.0013,0,2.56,,,
,0.9,1.1,0.4,0.2,0.03,0.0015,1100,0.81,,,
,0.9,1.1,0.25,0.2,0.09,0.0013,1100,2.56,,,
,0.9,1.1,0.4,0.1,0.09,0.0015,0,2.56,,,
,1.6,0.9,0.4,0.1,0.03,0.0015,1100,2.56,,,
,1.6,0.9,0.25,0.2,0.09,0.0015,0,2.56,,,
,1.6,0.9,0.4,0.2,0.09,0.0013,1100,0.81,,,
,1.6,1.1,0.25,0.1,0.03,0.0013,1100,2.56,,,
,1.6,1.1,0.4,0.1,0.09,0.0013,0,0.81,,,
,1.6,1.1,0.25,0.2,0.03,0.0015,0,0.81,,,
0,1.075646537,0.91145564,0.371225397,0.150117649,0.079703148,0.001316444,705.8899423,1.157,failed,3.644074798,45.31212519
1,0.932267074,0.939360602,0.324311155,0.198889197,0.04009435,0.001460518,338.2611555,0.869,failed,2.686487436,32.33792268
2,1.373771369,1.035863453,0.296746845,0.133721703,0.076308397,0.00132277,109.05302,1.887,failed,3.793466315,54.36411287
3,0.93042864,0.922841629,0.373532539,0.134893871,0.042553471,0.00132575,95.72599393,0.865,failed,2.665150404,33.42281861
4,0.981496592,0.989423011,0.267510836,0.136241125,0.066805751,0.001304507,938.6633281,0.963,failed,2.890075803,4.048907123
5,1.322705982,0.936873555,0.384082669,0.160771674,0.086736671,0.001476314,1095.447588,1.749,failed,3.29795146,6.932301933
6,1.033651464,1.075317186,0.262847937,0.176326905,0.03175732,0.0013808,989.7750855,1.068,failed,3.63279891,13.11354175
7,1.367961002,0.94226356,0.309309999,0.141801372,0.056372167,0.001444452,893.9647481,1.871,failed,3.037513971,9.050318276
8,1.542213494,0.92274735,0.305363327,0.167990421,0.068732861,0.001435011,965.2135412,2.378,failed,3.170291424,9.980959468
9,1.193146061,0.994097974,0.377894583,0.173726393,0.060152525,0.001339161,840.1436724,1.423,failed,3.009001613,8.163260373
10,1.132581895,1.094800965,0.33172125,0.114963638,0.072101932,0.001493845,542.9919511,1.282,failed,3.205126762,38.41196324
11,1.098123545,0.928005823,0.326474981,0.180480397,0.054762932,0.00147724,786.067023,1.205,failed,2.814055324,14.78060391
12,1.030397587,0.91443224,0.268014218,0.159785289,0.05996708,0.001372411,603.9324539,1.061,failed,2.810706735,32.35931438
13,1.121977329,1.01922708,0.275285248,0.14479217,0.068476217,0.001471608,518.2431191,1.258,failed,3.103101373,37.86787939
14,1.236818068,1.086750408,0.346631477,0.10610316,0.038061724,0.001380187,808.8678828,1.529,failed,3.034721196,8.482559763
15,0.948664327,1.001433953,0.347668803,0.134805476,0.043085987,0.001462869,21.04078402,0.899,failed,2.849659443,35.68704368
16,1.3934878,0.954403327,0.364014541,0.135390817,0.070893877,0.001445147,7.696829755,1.941,failed,3.233162045,41.55423997
17,1.120273854,1.070781834,0.388540629,0.168508366,0.031257658,0.001345228,329.8912811,1.255,failed,2.967257857,34.89812786
18,1.421697648,1.089465492,0.260855358,0.131518475,0.070956395,0.001457281,271.3305121,2.021,failed,3.80911535,56.22642196
19,1.178748957,1.01244305,0.346705093,0.146437845,0.064015458,0.001454982,404.0465286,1.389,failed,3.792805403,53.10178498
20,1.325758522,1.005812759,0.252795158,0.116832665,0.085161589,0.001307108,706.7906699,1.757,failed,3.297827363,41.62820731
21,1.409919541,1.029053323,0.395092808,0.135849786,0.050026516,0.001473541,800.1965771,1.987,failed,3.632073671,23.20733392
22,1.195230626,0.976859649,0.298971378,0.176207527,0.049339241,0.001452027,208.3681086,1.428,failed,3.019905686,38.30062733
23,1.175735749,0.987302651,0.363381379,0.184777633,0.059692472,0.001408906,142.2867546,1.382,failed,3.072770476,38.70107034
24,1.062555802,1.010421531,0.329689701,0.183700884,0.073168706,0.001317704,648.6320975,1.129,failed,3.044793189,34.04295118
25,1.209165223,1.009133254,0.292905287,0.184946262,0.064806774,0.001321824,699.7659067,1.462,failed,3.101598442,34.54336733
